issue,time,title,type,url,weekday
ECONOMY & JOBS,"Jun 15, 2018",Statement by the President Regarding Trade with China,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-president-regarding-trade-china/,Friday
not found,"Jun 15, 2018",Presidential Message on Eid al-Fitr,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/presidential-message-eid-al-fitr/,Friday
not found,"Jun 14, 2018",Press Briefing by Press Secretary Sarah Sanders,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-sarah-sanders-061418/,Thursday
FOREIGN POLICY,"Jun 14, 2018",President Donald J. Trump Has Restored American Leadership On The World Stage,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-restored-american-leadership-world-stage/,Thursday
not found,"Jun 14, 2018",Remarks by Vice President Pence at the 12th Annual National Hispanic Prayer Breakfast and Conference,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-12th-annual-national-hispanic-prayer-breakfast-conference/,Thursday
HEALTHCARE,"Jun 13, 2018","Readout for Second Lady Karen Pence’s Visit to MedStar Georgetown University Hospital in Washington, DC",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-second-lady-karen-pences-visit-medstar-georgetown-university-hospital-washington-dc/,Wednesday
FOREIGN POLICY,"Jun 13, 2018",Historic Summit with North Korea is a Tremendous Moment for the World,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/historic-summit-north-korea-tremendous-moment-world/,Wednesday
not found,"Jun 13, 2018",Remarks by Vice President Pence at the Southern Baptist Convention Annual Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-southern-baptist-convention-annual-meeting/,Wednesday
FOREIGN POLICY,"Jun 13, 2018",Statement by the Press Secretary on the Visit of President Marcelo Rebelo de Sousa of Portugal,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-visit-president-marcelo-rebelo-de-sousa-portugal/,Wednesday
FOREIGN POLICY,"Jun 12, 2018",WTAS: Support For President Donald J. Trump’s Summit With North Korea,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/wtas-support-president-donald-j-trumps-summit-north-korea/,Tuesday
not found,"Jun 12, 2018",Statement from the Press Secretary,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-28/,Tuesday
FOREIGN POLICY,"Jun 12, 2018",Press Conference by President Trump,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-conference-president-trump/,Tuesday
FOREIGN POLICY,"Jun 12, 2018",Remarks by President Trump and Chairman Kim Jong Un of the State Affairs Commission of the Democratic People’s Republic of Korea Before Expanded Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-chairman-kim-jong-un-state-affairs-commission-democratic-peoples-republic-korea-expanded-bilateral-meeting/,Tuesday
FOREIGN POLICY,"Jun 12, 2018",Joint Statement of President Donald J. Trump of the United States of America and Chairman Kim Jong Un of the Democratic People’s Republic of Korea at the Singapore Summit,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/joint-statement-president-donald-j-trump-united-states-america-chairman-kim-jong-un-democratic-peoples-republic-korea-singapore-summit/,Tuesday
FOREIGN POLICY,"Jun 11, 2018",Remarks by President Trump and Chairman Kim Jong Un of the State Affairs Commission of the Democratic People’s Republic of Korea Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-chairman-kim-jong-un-state-affairs-commission-democratic-peoples-republic-korea-bilateral-meeting/,Monday
FOREIGN POLICY,"Jun 11, 2018",Readout of President Donald J. Trump’s Call with Prime Minister Shinzo Abe of Japan,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-prime-minister-shinzo-abe-japan-11/,Monday
FOREIGN POLICY,"Jun 11, 2018",Readout of President Donald J. Trump’s Call with President Moon Jae-in of the Republic of Korea,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-call-president-moon-jae-republic-korea-11/,Monday
not found,"Jun 11, 2018",Press Briefing by Secretary of State Mike Pompeo,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-secretary-state-mike-pompeo-061118/,Monday
HEALTHCARE,"Jun 11, 2018",Statement from First Lady Melania Trump on Newly Released Information from the Department of Health and Human Services,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-first-lady-melania-trump-newly-released-information-department-health-human-services/,Monday
FOREIGN POLICY,"Jun 11, 2018",Statement Regarding the Summit Between the United States and North Korea,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-regarding-summit-united-states-north-korea/,Monday
FOREIGN POLICY,"Jun 11, 2018",Readout of President Donald J. Trump’s Meeting with Prime Minister Lee Hsien Loong of Singapore,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-president-donald-j-trumps-meeting-prime-minister-lee-hsien-loong-singapore/,Monday
not found,"Jun 10, 2018",Statement from First Lady Melania Trump’s Visit to Ford’s Theatre,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-first-lady-melania-trumps-visit-fords-theatre/,Sunday
LAND & AGRICULTURE,"Jun 9, 2018",President Donald J. Trump Approves New Jersey Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-new-jersey-disaster-declaration/,Saturday
not found,"Jun 9, 2018",Press Conference by President Trump After G7 Summit,REMARKS,https://www.whitehouse.gov/briefings-statements/press-conference-president-trump-g7-summit/,Saturday
LAND & AGRICULTURE,"Jun 8, 2018",President Donald J. Trump Approves New Hampshire Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-new-hampshire-disaster-declaration-5/,Friday
LAND & AGRICULTURE,"Jun 8, 2018",President Donald J. Trump Approves Alaska Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-alaska-disaster-declaration-2/,Friday
LAND & AGRICULTURE,"Jun 8, 2018",President Donald J. Trump Approves New Hampshire Disaster Declaration,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-new-hampshire-disaster-declaration-4/,Friday
FOREIGN POLICY,"Jun 8, 2018",Remarks by President Trump and Prime Minister Trudeau of Canada Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-prime-minister-trudeau-canada-bilateral-meeting/,Friday
FOREIGN POLICY,"Jun 8, 2018",Remarks by President Trump and President Macron of France After Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-president-macron-france-bilateral-meeting-2/,Friday
HEALTHCARE,"Jun 8, 2018",Presidential Message on Men’s Health Week,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/presidential-message-mens-health-week/,Friday
LAW & JUSTICE,"Jun 8, 2018",Statement from the Office of the Vice President,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-office-vice-president-2/,Friday
FOREIGN POLICY,"Jun 8, 2018",Presidential Message to the Congress of the United States,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/presidential-message-congress-united-states-14/,Friday
NATIONAL SECURITY & DEFENSE,"Jun 8, 2018",Text of a Letter from the President to the Speaker of the House of Representatives and the President Pro Tempore of the Senate,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/text-letter-president-speaker-house-representatives-president-pro-tempore-senate-4/,Friday
FOREIGN POLICY,"Jun 8, 2018",Notice Regarding the Continuation of the National Emergency with Respect to the Actions and Policies of Certain Members of the Government of Belarus and Other Persons to Undermine Democratic Processes or Institutions of Belarus,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/notice-regarding-continuation-national-emergency-respect-actions-policies-certain-members-government-belarus-persons-undermine-democratic-processes/,Friday
not found,"Jun 8, 2018",Remarks by President Trump Before Marine One Departure,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-marine-one-departure-8/,Friday
ECONOMY & JOBS,"Jun 8, 2018",Larry Kudlow: “Trump Is Presiding Over Extraordinary Growth. G-7 Leaders Should Notice.”,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/larry-kudlow-trump-presiding-extraordinary-growth-g-7-leaders-notice/,Friday
FOREIGN POLICY,"Jun 8, 2018",Statement from the Press Secretary on the Visit of King Felipe VI and Queen Letizia of Spain,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-visit-king-felipe-vi-queen-letizia-spain/,Friday
BUDGET & SPENDING,"Jun 7, 2018","Statement from the Press Secretary on the Passage of H.R. 3, the Spending Cuts to Expired and Unnecessary Programs Act",STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-passage-h-r-3-spending-cuts-expired-unnecessary-programs-act/,Thursday
FOREIGN POLICY,"Jun 7, 2018",Remarks by President Trump and Prime Minister Abe of Japan in Joint Press Conference,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-prime-minister-abe-japan-joint-press-conference-2/,Thursday
not found,"Jun 7, 2018",Press Briefing by Secretary of State Mike Pompeo,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-secretary-state-mike-pompeo-060718/,Thursday
BUDGET & SPENDING,"Jun 7, 2018","Washington Examiner: “$3 Billion Payoff: 101 Utilities Cut Rates, Credit GOP Tax Cuts”",NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/washington-examiner-3-billion-payoff-101-utilities-cut-rates-credit-gop-tax-cuts/,Thursday
FOREIGN POLICY,"Jun 7, 2018",Remarks by President Trump and Prime Minister Abe of Japan Before Bilateral Meeting,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-prime-minister-abe-japan-bilateral-meeting-3/,Thursday
HEALTHCARE,"Jun 7, 2018",On-The-Record Press Call on the Youth Opioid Prevention Ad Campaign,REMARKS,https://www.whitehouse.gov/briefings-statements/record-press-call-youth-opioid-prevention-ad-campaign/,Thursday
FOREIGN POLICY,"Jun 7, 2018",Readout of the Vice President’s Call with Pakistani Prime Minister Nasir ul-Mulk,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/readout-vice-presidents-call-pakistani-prime-minister-nasir-ul-mulk/,Thursday
ECONOMY & JOBS,"Jun 7, 2018",Washington Examiner: “Total Jobless Claims Running at Lowest Level in 44 Years”,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/washington-examiner-total-jobless-claims-running-lowest-level-44-years/,Thursday
LAND & AGRICULTURE,"Jun 7, 2018",Statement by the Press Secretary on the Volcano Eruption in Guatemala,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-volcano-eruption-guatemala/,Thursday
HEALTHCARE,"Jun 7, 2018",President Donald J. Trump Is Taking Action to Stop Youth Opioid Abuse,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-taking-action-stop-youth-opioid-abuse/,Thursday
HEALTHCARE,"Jun 7, 2018",Statement from the Press Secretary Regarding the Youth Opioid Prevention Ad Campaign,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-press-secretary-regarding-youth-opioid-prevention-ad-campaign/,Thursday
NATIONAL SECURITY & DEFENSE,"Jun 7, 2018",President Donald J. Trump’s 500 Days of Winning on the World Stage,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-500-days-winning-world-stage/,Thursday
VETERANS,"Jun 7, 2018",WTAS: Support for President Donald J. Trump’s Signing of the VA MISSION Act,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/wtas-support-president-donald-j-trumps-signing-va-mission-act/,Thursday
not found,"Jun 6, 2018",Remarks by President Trump Before White House Iftar Dinner,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-white-house-iftar-dinner/,Wednesday
VETERANS,"Jun 6, 2018",Statement by the President,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/statement-by-the-president-3/,Wednesday
LAND & AGRICULTURE,"Jun 6, 2018",Remarks by President Trump at 2018 Hurricane Briefing,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-2018-hurricane-briefing-3/,Wednesday
LAND & AGRICULTURE,"Jun 6, 2018",Remarks by Vice President Pence at 2018 Hurricane Briefing,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-2018-hurricane-briefing/,Wednesday
LAND & AGRICULTURE,"Jun 6, 2018",Remarks by President Trump After 2018 Hurricane Briefing,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-2018-hurricane-briefing/,Wednesday
ECONOMY & JOBS,"Jun 6, 2018",The Wall Street Journal: “American Job Openings Now Outnumber the Jobless”,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/wall-street-journal-american-job-openings-now-outnumber-jobless/,Wednesday
not found,"Jun 6, 2018",Press Briefing by NEC Director Larry Kudlow on the G7 Summit,PRESS BRIEFINGS,https://www.whitehouse.gov/briefings-statements/press-briefing-nec-director-larry-kudlow-g7-summit-060618/,Wednesday
ECONOMY & JOBS,"Jun 6, 2018",Townhall Columnist Wayne Allyn Root: “The Trump Miracle”,NEWS CLIPS,https://www.whitehouse.gov/briefings-statements/townhall-columnist-wayne-allyn-root-trump-miracle/,Wednesday
VETERANS,"Jun 6, 2018",Remarks by President Trump at Signing of the VA Mission Act of 2018,REMARKS,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-signing-va-mission-act-2018/,Wednesday
VETERANS,"Jun 6, 2018",President Donald J. Trump Signs S. 2372 into Law,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-signs-s-2372-law/,Wednesday
LAW & JUSTICE,"Jun 6, 2018",President Trump Commutes Sentence of Alice Marie Johnson,STATEMENTS & RELEASES,https://www.whitehouse.gov/briefings-statements/president-trump-commutes-sentence-alice-marie-johnson/,Wednesday
VETERANS,"Jun 6, 2018",President Donald J. Trump Provides Resources For Veterans To Get The Care They Deserve From The Doctors They Want,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-provides-resources-veterans-get-care-deserve-doctors-want/,Wednesday
not found,"Jun 6, 2018",President Donald J. Trump’s 500 Days of Making the Government Accountable to the American People,FACT SHEETS,https://www.whitehouse.gov/briefings-statements/president-donald-j-trumps-500-days-making-government-accountable-american-people/,Wednesday
